-499799,1,0.368293,0.57606,-1.27327e-06,0.388606,0.565341,-0.0232504,0.406791,0.532365,-0.0414118,0.416597,0.508358,-0.0568036,0.422566,0.487128,-0.0721295,0.39562,0.483386,-0.0458985,0.408789,0.458141,-0.076285,0.417972,0.46458,-0.0982314,0.425098,0.477519,-0.112044,0.38,0.477021,-0.0490944,0.38543,0.433441,-0.0752202,0.394871,0.41582,-0.0971386,0.404011,0.403435,-0.112842,0.363775,0.484749,-0.0540409,0.364448,0.442193,-0.0809,0.371515,0.42366,-0.0981852,0.380986,0.408628,-0.111337,0.349566,0.50315,-0.0590551,0.341273,0.476266,-0.0816826,0.337795,0.459917,-0.0940828,0.338113,0.442527,-0.104583
0,1,0.366482,0.58069,4.56944e-06,0.387749,0.570808,-0.01395,0.404754,0.539612,-0.0243069,0.414595,0.514908,-0.0351074,0.426276,0.497683,-0.0471997,0.392447,0.486053,-0.0264592,0.404069,0.458211,-0.0503388,0.415002,0.453888,-0.0670869,0.426449,0.457187,-0.0770798,0.377622,0.479554,-0.0324738,0.382852,0.438397,-0.053285,0.390744,0.41286,-0.0694297,0.401534,0.391024,-0.0834803,0.362581,0.487611,-0.0416248,0.366029,0.448761,-0.0617294,0.372854,0.422233,-0.0787533,0.381728,0.397825,-0.092601,0.348228,0.50625,-0.0510593,0.340787,0.480214,-0.0666941,0.337908,0.458322,-0.0781109,0.33851,0.434873,-0.0887342
33367,1,0.367256,0.578187,3.43409e-06,0.388468,0.570864,-0.0145866,0.405983,0.54272,-0.02634,0.418382,0.521369,-0.0389174,0.430674,0.50521,-0.0527672,0.392344,0.483743,-0.025918,0.403402,0.453204,-0.0474388,0.414704,0.441942,-0.062017,0.426632,0.437408,-0.0726607,0.37705,0.477985,-0.0325037,0.381455,0.43537,-0.0537028,0.388706,0.406302,-0.0695488,0.397875,0.381974,-0.0828912,0.361647,0.486636,-0.0422819,0.363426,0.446652,-0.0637259,0.369164,0.418276,-0.0801915,0.376454,0.392493,-0.0930587,0.347026,0.505326,-0.052387,0.339568,0.478601,-0.0687335,0.33691,0.45715,-0.0796353,0.337232,0.435069,-0.0895291
66734,1,0.367686,0.577353,1.19115e-05,0.388884,0.570121,-0.019527,0.406575,0.542389,-0.0325717,0.419708,0.522292,-0.0449973,0.432862,0.507654,-0.058768,0.391914,0.482249,-0.0340956,0.402182,0.450359,-0.0564866,0.412776,0.434355,-0.0706809,0.42435,0.422654,-0.0814123,0.375979,0.476867,-0.0379765,0.379938,0.434305,-0.0611334,0.386439,0.406001,-0.0767921,0.394257,0.380381,-0.0887747,0.360374,0.485613,-0.0448408,0.361585,0.44635,-0.0680877,0.366622,0.418579,-0.0858266,0.373289,0.392531,-0.0990694,0.34576,0.504707,-0.0521356,0.338842,0.479377,-0.07112,0.335744,0.458562,-0.0834914,0.335628,0.436748,-0.0938262
100100,1,0.367985,0.579248,3.05218e-06,0.389323,0.569549,-0.0173259,0.40697,0.540531,-0.0289169,0.420362,0.520905,-0.0401937,0.433442,0.50837,-0.0525852,0.391757,0.481404,-0.0302626,0.401776,0.448404,-0.051836,0.411932,0.431632,-0.0661598,0.423126,0.419224,-0.0767166,0.375794,0.476318,-0.0345401,0.379653,0.43329,-0.0572856,0.385679,0.404733,-0.0730463,0.392979,0.378571,-0.0850569,0.360292,0.485164,-0.041807,0.360691,0.445818,-0.0645769,0.364922,0.418339,-0.0817225,0.370894,0.392421,-0.0942725,0.345831,0.504303,-0.0493585,0.338375,0.479318,-0.0680245,0.335213,0.459144,-0.0797136,0.335023,0.438259,-0.0892631
133467,1,0.367228,0.583363,2.74628e-06,0.388077,0.568671,-0.0111325,0.404457,0.537569,-0.0202264,0.415536,0.5149,-0.0304624,0.42678,0.498458,-0.042048,0.389576,0.483271,-0.0211864,0.400273,0.453878,-0.0423919,0.4112,0.446668,-0.0581626,0.422659,0.44576,-0.0688176,0.374629,0.478138,-0.0288179,0.379087,0.43613,-0.0486222,0.385809,0.407787,-0.0635953,0.394712,0.381919,-0.0763526,0.35973,0.487146,-0.0394145,0.361898,0.447111,-0.0590085,0.367458,0.419253,-0.074862,0.374524,0.393006,-0.0877295,0.346201,0.506397,-0.0504953,0.338461,0.480382,-0.0666583,0.335444,0.458596,-0.0776685,0.335576,0.435969,-0.0870571
166833,1,0.365446,0.587565,-1.93866e-05,0.386223,0.566238,-0.00964338,0.401526,0.532525,-0.0202359,0.411495,0.508986,-0.0323981,0.422153,0.487834,-0.0478234,0.387903,0.484428,-0.0174242,0.399579,0.458392,-0.0449647,0.411822,0.466307,-0.0657488,0.420292,0.481038,-0.075652,0.374186,0.479375,-0.0248292,0.379613,0.441841,-0.0425728,0.388951,0.420987,-0.0592848,0.400062,0.403865,-0.0728235,0.359904,0.488204,-0.0353102,0.362957,0.449264,-0.0523744,0.370926,0.423647,-0.0678893,0.381222,0.402191,-0.0792766,0.346201,0.507042,-0.046104,0.337832,0.478209,-0.0584116,0.33553,0.456457,-0.0674725,0.337181,0.433437,-0.0759414
200200,1,0.363756,0.58744,-2.54917e-05,0.385202,0.569051,-0.0100287,0.4009,0.534812,-0.0203407,0.410153,0.508886,-0.0323402,0.421048,0.486832,-0.0471486,0.389128,0.486495,-0.0189973,0.400348,0.458607,-0.0456613,0.411511,0.465366,-0.0673236,0.419458,0.479942,-0.0785708,0.374778,0.481661,-0.02634,0.380791,0.445249,-0.0447571,0.39064,0.426804,-0.0624099,0.402648,0.41241,-0.0774472,0.360111,0.489468,-0.0368095,0.36328,0.451606,-0.0550108,0.372196,0.428208,-0.0702651,0.383291,0.408525,-0.0814472,0.345799,0.506607,-0.0472532,0.33731,0.477623,-0.0603368,0.33484,0.455925,-0.0689802,0.33634,0.431853,-0.0772967
233567,1,0.364331,0.583093,-8.02744e-06,0.38531,0.569784,-0.00900429,0.40091,0.533593,-0.0171938,0.410603,0.507057,-0.0272211,0.424653,0.489469,-0.0397392,0.389151,0.487813,-0.018924,0.400545,0.460312,-0.0459019,0.411603,0.461736,-0.0647032,0.421434,0.470925,-0.0744252,0.374309,0.482035,-0.0271024,0.379569,0.442425,-0.0481905,0.38792,0.418883,-0.0651308,0.398595,0.398213,-0.0792507,0.359172,0.489616,-0.0383043,0.362611,0.451114,-0.0595594,0.370481,0.426206,-0.0753625,0.380074,0.402185,-0.0866399,0.344413,0.507495,-0.049252,0.336779,0.480033,-0.0643979,0.334672,0.458156,-0.0742012,0.335796,0.433719,-0.0839093
266934,1,0.365341,0.57839,-2.71854e-06,0.388052,0.568345,-0.0138981,0.404959,0.537429,-0.0251227,0.418236,0.516154,-0.0367443,0.433075,0.50153,-0.0500447,0.390073,0.48389,-0.027884,0.400117,0.451158,-0.0506328,0.411167,0.433645,-0.0643498,0.42299,0.421212,-0.0747248,0.37458,0.480998,-0.0346957,0.378891,0.438005,-0.0567011,0.386299,0.409871,-0.0745329,0.395361,0.384439,-0.0881805,0.358824,0.490227,-0.0440935,0.360726,0.449889,-0.0677707,0.367033,0.422261,-0.0852217,0.37533,0.396875,-0.0977213,0.343675,0.508815,-0.0530522,0.336197,0.481277,-0.0709225,0.333477,0.4605,-0.0820049,0.333459,0.438658,-0.0918622
